depth.ft,p1,p2,p3
6453.25,1,1,1
6463.75,0,0,1
6468,0,1,1
6478.25,0,0,0
6487.5,1,1,1
6494,0,0,1
6500,0,1,1
6511.5,0,0,0
6521.75,1,1,1
6524,0,0,1
6532.25,0,1,1
6544.75,0,0,0
6555.75,1,1,1
6561.5,0,0,0
6564.25,0,1,1
6577.75,0,0,0
6584.5,0,0,1
6590,1,1,1
6592.5,0,0,0
6596.5,0,1,1
6610.75,0,0,0
6614.5,0,0,1
6624,1,1,1
6628.5,0,1,1
6644.75,0,0,1
6655,0,0,0
6658,1,1,1
6660.5,0,1,1
6674.75,0,0,1
6677,0,0,0
6686.25,0,0,0
6692.25,1,1,1
6705,0,0,1
6710.25,0,0,0
6717.25,0,0,0
6726.25,1,1,1
6735,0,0,1
6743.25,0,0,0
6748.5,0,0,0
6757.25,0,1,1
6760.5,1,1,1
6765.25,0,0,1
6776.5,0,0,0
6779.5,0,0,0
6789.25,0,1,1
6794.5,1,1,1
6809.5,0,0,0
6821.25,0,1,1
6825.25,0,0,1
6828.75,1,1,1
6842.5,0,0,0
6853.25,0,1,1
6855.5,0,0,1
6863,1,1,1
6873,0,0,0
6875.75,0,0,0
6885.5,0,1,1
6897,1,1,1
6904.25,0,0,0
6908.75,0,0,0
6917.5,0,1,1
6931.25,1,1,1
6935.5,0,0,0
6941.75,0,0,0
6945.75,0,0,1
6949.75,0,1,1
6965.5,1,1,1
6975.75,0,0,1
6981.75,0,1,1
6999.5,1,1,1
7006,0,0,1
7008.25,0,0,0
7013.75,0,1,1
7029,0,0,0
7033.75,1,1,1
7036,0,0,1
7041.25,0,0,0
7045.75,0,1,1
7060,0,0,0
7067.75,1,1,1
7074.25,0,0,0
7078,0,1,1
7091,0,0,0
7096.25,0,0,1
7101.75,1,1,1
7107.25,0,0,0
7110.25,0,1,1
7122.25,0,0,0
7126.5,0,0,1
7136,1,1,1
7142.25,0,1,1
7153.25,0,0,0
7156.5,0,0,1
7170.25,1,1,1
7174.25,0,1,1
7184.5,0,0,0
7186.5,0,0,1
7204.25,1,1,1
7216.5,0,0,1
7238.5,1,1,1
7246.5,0,0,1
7272.5,1,1,1
7276.5,0,0,1
7302.75,0,1,1
7306.5,1,1,1
7309,0,0,0
7334.75,0,1,1
7337,0,0,1
7340.75,1,1,1
7367,0,1,1
7372.5,0,0,0
7374.75,1,1,1
7399,0,1,1
7402.5,0,0,0
7405.75,0,0,0
7408.75,1,1,1
7427.5,0,0,1
7431,0,1,1
7433.75,0,0,0
7438.75,0,0,0
7443,1,1,1
7457.5,0,0,1
7463.25,0,1,1
7472,0,0,0
7477,1,1,1
7487.75,0,0,1
7495.5,0,1,1
7505,0,0,0
7511.25,1,1,1
7517.75,0,0,1
7527.75,0,1,1
7538.25,0,0,0
7545.25,1,1,1
7547.75,0,0,1
7559.75,0,1,1
7571.25,0,0,0
7579.25,1,1,1
7589.5,0,0,0
7592,0,1,1
7604.5,0,0,0
7608,0,0,1
7613.5,1,1,1
7620.5,0,0,0
7624,0,1,1
